,as_of_date,variable,c_value,i_value,f_value,e_value,v_value
0,2020-03-04,delayable,0.005153673163418264,,,,
1,2020-03-05,delayable,0.013703738230632973,,,,
2,2020-03-06,delayable,0.0105756851204709,,,,
3,2020-03-09,delayable,-0.020111020111020055,,,,
4,2020-03-10,delayable,-0.0035289747399703717,,,,
5,2020-03-11,delayable,-0.0012115563839701347,,,,
6,2020-03-12,delayable,-0.00905104040309787,,,,
7,2020-03-13,delayable,-0.0016949152542373523,,,,
8,2020-03-16,delayable,-0.023580456517638182,,,,
9,2020-03-17,delayable,-0.0029945904173106865,,,,
10,2020-03-18,delayable,-0.00881697509931205,,,,
11,2020-03-19,delayable,-0.017399804496578703,,,,
12,2020-03-20,delayable,-0.014623955431754864,,,,
13,2020-03-23,delayable,-0.18293791014639063,,0.2243099894117273,,
14,2020-03-24,delayable,-0.060175460274311185,,0.28928236942556784,,
15,2020-03-25,delayable,-0.08835130160399683,,0.3139312813766222,,
16,2020-03-26,delayable,-0.0809056821459476,,0.3209004677913548,,
17,2020-03-27,delayable,-0.09885454260160047,,0.3260845643524892,,
18,2020-03-30,delayable,-0.23141215392651923,,0.34723665645334434,,
19,2020-03-31,delayable,0.008382419574082407,,0.34853268059362796,,
20,2020-04-01,delayable,0.049651763648618306,75.1,0.4354885644209584,,2.2
21,2020-04-02,delayable,0.03167808219178091,,0.435977630134273,,
22,2020-04-03,delayable,0.022821576763485358,,0.4376404535595425,,
23,2020-04-06,delayable,0.05010141987829627,,0.4496714701070809,,
24,2020-04-07,delayable,-0.010430751400425077,,0.44991600296373824,,
25,2020-04-08,delayable,0.012492680070271336,,0.4503072555343899,,
26,2020-04-09,delayable,0.02352033930981311,,0.45060069496237865,,
27,2020-04-14,delayable,0.005462422301751726,,0.4521657052449852,,
28,2020-04-15,delayable,-0.001311352566504314,,0.4522390651019824,,
29,2020-04-16,delayable,-0.01125492402926283,,0.4525325045299712,,
30,2020-04-17,delayable,0.024663251754885165,,0.4526547709582998,,
31,2020-04-20,delayable,0.007406035919274183,,0.45260586438696837,,
32,2020-04-21,delayable,0.03657415916191881,,0.45241023810164255,,
33,2020-04-22,delayable,0.006914893617021287,,0.45250805124430543,,
34,2020-04-23,delayable,0.004402183483007572,,0.45233687824464536,,
35,2020-04-24,delayable,0.00227910238429177,,0.45267922424396556,,
36,2020-04-27,delayable,0.047227566905719706,,0.4516766395316707,,
37,2020-04-28,delayable,0.013529313512610695,,0.4514810132463448,,
38,2020-04-29,delayable,0.019775873434410066,,0.45123648038968756,,
39,2020-04-30,delayable,0.007272139625080732,,0.4512120271040218,,
40,2020-05-01,delayable,0.027113749398363512,83.8,0.44218876469336804,,1.4
41,2020-05-04,delayable,0.014058106841612086,,0.44368041511897743,,
42,2020-05-05,delayable,0.01494146642020947,,0.4435336954049831,,
43,2020-05-06,delayable,0.0009106085900744008,,0.4433380691196573,,
44,2020-05-07,delayable,0.015617892342683869,,0.4433869756909887,,
45,2020-05-11,delayable,-0.021648253209913447,,0.44169969898005346,,
46,2020-05-12,delayable,-0.0093087135663055,,0.44150407269472763,,
47,2020-05-13,delayable,0.007085643869377599,,0.44128399312373606,,
48,2020-05-14,delayable,-0.0016824717038849716,,0.4411372734097417,,
49,2020-05-15,delayable,0.01578060364639193,,0.44116172669540743,,
50,2020-05-18,delayable,0.02579185520362003,,0.4382762389868515,,
51,2020-05-19,delayable,0.008675194824290387,,0.4380317061301942,,
52,2020-05-20,delayable,0.010932944606413995,,0.43788498641619983,,
53,2020-05-21,delayable,0.016582552271088763,,0.4368579484182392,,
54,2020-05-22,delayable,0.020567375886524863,,0.43668677541857914,,
55,2020-05-26,delayable,0.022376650451702562,,0.4329698759973884,,
56,2020-05-27,delayable,-0.007069059271343067,,0.43252971685540526,,
57,2020-05-28,delayable,-0.005065717415115067,,0.4302066547171611,,
58,2020-05-29,delayable,-0.0013760836658870033,,0.42952196271852067,,
59,2020-06-01,delayable,0.007716687336364921,98.0,0.3645984892760116,3913654.3835947895,0.8
60,2020-06-02,delayable,0.05415014357992627,,0.3643050498480228,,
61,2020-06-03,delayable,-0.0019457776624725084,,0.3642072367053599,,
62,2020-06-04,delayable,-0.002469456719521676,,0.36406051699136555,,
63,2020-06-05,delayable,0.00703583061889259,,0.36413387684836274,,
64,2020-06-08,delayable,0.08099366024065197,,0.35961001900020295,,
65,2020-06-09,delayable,-0.00514661879114294,,0.35951220585754007,,
66,2020-06-10,delayable,0.018166506256015288,,0.35953665914320576,,
67,2020-06-11,delayable,0.02835873803615746,,0.3595611124288715,,
68,2020-06-12,delayable,-0.0026427668620016545,,0.35946329928620857,,
69,2020-06-15,delayable,-0.0296082949308755,,0.3514915281591811,,
70,2020-06-16,delayable,0.020182832719933548,,0.3494129988775942,,
71,2020-06-17,delayable,0.015012219248225206,,0.34909510616393974,,
72,2020-06-18,delayable,-0.00034395780784225103,,0.34887502659294817,,
73,2020-06-19,delayable,0.014451198531941796,,0.34870385359328804,,
74,2020-06-22,delayable,0.08976823063877894,,0.3423704526058644,,
75,2020-06-23,delayable,0.00020749040356879365,,0.341954746749547,,
76,2020-06-24,delayable,0.007156933928015742,,0.33928933861198257,,
77,2020-06-25,delayable,-0.018125643666323285,,0.3387024597560051,,
78,2020-06-26,delayable,0.034927627438640634,,0.3376509684723788,,
79,2020-06-29,delayable,0.01581027667984192,,0.3249352599262,,
80,2020-06-30,delayable,0.0068841664172403245,,0.32420166135622813,,
81,2020-07-01,delayable,-0.0015854141894569619,100.6,0.23299090582306092,,1.0
82,2020-07-02,delayable,0.025605398967844365,,0.23294199925172945,,
83,2020-07-03,delayable,-0.00406425391910201,,0.23264855982374072,,
84,2020-07-06,delayable,-0.0069957248348231525,,0.22990979182917912,,
85,2020-07-07,delayable,-0.005870841487279926,,0.22927400640187018,,
86,2020-07-08,delayable,0.00885826771653549,,0.2287604874028899,,
87,2020-07-09,delayable,-0.008292682926829213,,0.22832032826090679,,
88,2020-07-10,delayable,-0.02233152975897698,,0.22795352897592086,,
89,2020-07-13,delayable,-0.05353189776615006,,0.22298951198577796,,
90,2020-07-14,delayable,0.001169466298107585,,0.22247599298679768,,
91,2020-07-15,delayable,-0.011150047785919052,,0.22201138055914882,,
92,2020-07-16,delayable,0.0049398625429552595,,0.22122887541784553,,
93,2020-07-17,delayable,-0.012823252831801697,,0.22098434256118824,,
94,2020-07-20,delayable,-0.013422818791946255,,0.2168272839980144,,
95,2020-07-21,delayable,-0.013605442176870692,,0.21594696571404817,,
96,2020-07-22,delayable,-0.0027808676307007783,,0.2155557131433965,,
97,2020-07-23,delayable,-0.026547685443391072,,0.21521336714407632,,
98,2020-07-24,delayable,0.016042167984416246,,0.21491992771608756,,
99,2020-07-27,delayable,0.020638321867598942,,0.21105630858090246,,
100,2020-07-28,delayable,0.0202209944751381,,0.21054278958192219,,
101,2020-07-29,delayable,0.0010830715910322595,,0.20990700415461325,,
102,2020-07-30,delayable,0.027588445309964266,,0.20941793844129866,,
103,2020-07-31,delayable,0.0056854074542008,,0.20802410115835215,,
104,2020-08-03,delayable,0.027847571189279847,,0.15997339482519568,,
105,2020-08-04,delayable,0.016398451823181903,,0.15963104882587548,,
106,2020-08-05,delayable,-0.005912416073754919,,0.1593865159692182,,
107,2020-08-06,delayable,-0.0022177419354838593,,0.15926424954088955,,
108,2020-08-07,delayable,0.00383915942614665,,0.15916643639822664,,
109,2020-08-10,delayable,-0.03401771336553941,,0.15735689325896274,,
110,2020-08-11,delayable,-0.013127734944780216,,0.1571368136879712,,
111,2020-08-12,delayable,-0.004645270270270246,,0.15703900054530828,,
112,2020-08-13,delayable,-0.015379719983029304,,0.15691673411697962,,
113,2020-08-14,delayable,-0.007109770548314086,,0.1568189209743167,,
